iter	RMSE
344	6.571063354
345	6.565917035
346	6.56266174
347	6.558416317
348	6.554347708
349	6.550496355
350	6.548685304
351	6.542596544
352	6.539167089
353	6.535103327
354	6.529410496
355	6.526521031
356	6.52040838
357	6.518087898
358	6.512461853
359	6.50887063
360	6.503377217
361	6.498732623
362	6.495618161
363	6.491343289
364	6.487880972
365	6.481728219
366	6.477775433
367	6.472574471
368	6.470569801
369	6.466080578
370	6.461669211
371	6.459234798
372	6.45348735
373	6.449515225
374	6.445986123
375	6.442431819
376	6.438678643
377	6.436271985
378	6.432770468
379	6.428408557
380	6.425416965
381	6.421685988
382	6.416168441
383	6.41319131
384	6.410461867
385	6.407048619
386	6.402039799
387	6.398694817
388	6.395837796
389	6.392576169
390	6.389554529
391	6.384999331
392	6.380133288
393	6.3751725
394	6.373228837
395	6.369959919
396	6.367216683
397	6.364008042
398	6.359844573
399	6.354911365
400	6.351153559
401	6.348318228
402	6.344742096
403	6.340481974
404	6.335671792
405	6.331260174
406	6.326388598
407	6.323407438
408	6.320197614
409	6.316691798
410	6.310971423
411	6.308197497
412	6.305069614
413	6.300679834
414	6.298423023
415	6.294718648
416	6.291131374
417	6.288221625
418	6.285007773
419	6.280842684
420	6.27659539
421	6.27303698
422	6.271377193
423	6.268722408
424	6.262635021
425	6.258435929
426	6.254668222
427	6.251787228
428	6.249555417
429	6.244791205
430	6.242344591
431	6.237240298
432	6.234446823
433	6.229397644
434	6.224331692
435	6.219514155
436	6.216589165
437	6.212400265
438	6.2084391
439	6.205082314
440	6.199969261
441	6.195206108
442	6.190584638
443	6.187046197
444	6.18250763
445	6.176990154
446	6.172991145
447	6.168434441
448	6.165070357
449	6.161400533
450	6.157962493
451	6.153924533
452	6.150429659
453	6.14646084
454	6.143111834
455	6.139458257
456	6.134438056
457	6.132305083
458	6.129166456
459	6.125931706
460	6.123245946
461	6.120256648
462	6.116842991
463	6.110995699
464	6.105116696
465	6.099839279
466	6.094877417
467	6.091424005
468	6.087612451
469	6.082282486
470	6.079124467
471	6.075702944
472	6.070897715
473	6.067474624
474	6.063072275
475	6.058455336
476	6.056459277
477	6.054348116
478	6.0492963
479	6.043909354
480	6.040551979
481	6.038174142
482	6.034160096
483	6.029631249
484	6.026645213
485	6.023508299
486	6.020280721
487	6.01571536
488	6.012076936
489	6.008134405
490	6.004964422
491	6.002607806
492	6.00082291
493	5.996288526
494	5.993777661
495	5.99130161
496	5.986091849
497	5.982483887
498	5.979131002
499	5.976280372
500	5.971883022
501	5.967104021
502	5.96292939
503	5.960245802
504	5.955937069
505	5.952954086
506	5.949310038
507	5.946193499
508	5.942640484
509	5.940151204
510	5.937446515
511	5.933804436
512	5.930848535
513	5.926850364
514	5.920256474
515	5.915886445
516	5.913191833
517	5.91014967
518	5.907221201
519	5.904377364
520	5.90091779
521	5.898701849
522	5.894614564
523	5.892056033
524	5.887457452
525	5.88408685
526	5.881087808
527	5.876453441
528	5.874105405
529	5.868431823
530	5.865052428
531	5.861401803
532	5.85850537
533	5.852566972
534	5.849614984
535	5.846666655
536	5.843531641
537	5.839903245
538	5.837087949
539	5.834900514
540	5.83005041
541	5.826799371
542	5.823118707
543	5.81942646
544	5.816727093
545	5.815312098
546	5.811788224
547	5.809514742
548	5.806883392
549	5.803820086
550	5.800610492
551	5.794986236
552	5.791028428
553	5.787157496
554	5.785716171
555	5.779355416
556	5.775522611
557	5.770194561
558	5.766541381
559	5.765154241
560	5.762527016
561	5.761372853
562	5.759237148
563	5.754312248
564	5.751416619
565	5.748740671
566	5.744457956
567	5.739336083
568	5.735998293
569	5.733344792
570	5.730488992
571	5.726636842
572	5.724162349
573	5.722049469
574	5.718974541
575	5.715093319
576	5.712322875
577	5.71105441
578	5.707365246
579	5.704597589
580	5.701417902
581	5.698198255
582	5.695651201
583	5.693446368
584	5.692164588
585	5.688765702
586	5.686459934
587	5.683435436
588	5.678877066
589	5.677039848
590	5.67379093
591	5.666940158
592	5.664813942
593	5.662605812
594	5.660326492
595	5.655676132
596	5.652503432
597	5.649267877
598	5.64743638
599	5.643555905
600	5.639461296
601	5.634835947
602	5.631638063
603	5.629980706
604	5.624689408
605	5.621522103
606	5.618525373
607	5.614418717
608	5.611653744
609	5.609185232
610	5.60604865
611	5.601690247
612	5.597740624
613	5.594130162
614	5.591597189
615	5.587321076
616	5.581236424
617	5.578410393
618	5.576574055
619	5.573041477
620	5.569933841
621	5.569305237
622	5.564859984
623	5.561787608
624	5.559442361
625	5.556481358
626	5.554116793
627	5.552006749
628	5.54987411
629	5.547907258
630	5.546033488
631	5.543652434
632	5.540181593
633	5.538040745
634	5.534867195
635	5.533621731
636	5.532084636
637	5.529303445
638	5.524829667
639	5.523197105
640	5.520808303
641	5.518459596
642	5.516682885
643	5.51490529
644	5.513867783
645	5.51196198
646	5.507555849
647	5.506581065
648	5.505282475
649	5.502896387
650	5.501575033
651	5.499440603
652	5.495608569
653	5.494136037
654	5.493142998
655	5.488838524
656	5.486737754
657	5.48346372
658	5.482997485
659	5.481100218
660	5.476604137
661	5.473494518
662	5.468525285
663	5.468072036
664	5.46607779
665	5.461971567
666	5.460382864
667	5.459478215
668	5.457641831
669	5.452823776
670	5.449612841
671	5.445327947
672	5.44450656
673	5.441693295
674	5.438335751
675	5.434081437
676	5.430623038
677	5.427058482
